(venv) C:\Users\felix\OneDrive\Dokumente\Python Projects\audio_percentage\uis-rnn-master>python demo.py --train_iterat
ion=1000 -l=0.001
Warning: transition_bias cannot be correctly estimated from a concatenated sequence; train_sequences will be treated a
s a single sequence. This can lead to inaccurate estimation of transition_bias. Please, consider estimating transition
_bias before concatenating the sequences and passing it as argument.
Iter: 0         Training Loss: -283.4789
    Negative Log Likelihood: 6.0001     Sigma2 Prior: -289.4796 Regularization: 0.0006
Iter: 10        Training Loss: -298.0483
    Negative Log Likelihood: 5.6490     Sigma2 Prior: -303.6980 Regularization: 0.0006
Iter: 20        Training Loss: -308.8209
    Negative Log Likelihood: 6.2267     Sigma2 Prior: -315.0483 Regularization: 0.0006
Iter: 30        Training Loss: -328.9431
    Negative Log Likelihood: 7.1518     Sigma2 Prior: -336.0956 Regularization: 0.0006
Iter: 40        Training Loss: -347.9045
    Negative Log Likelihood: 8.3220     Sigma2 Prior: -356.2272 Regularization: 0.0006
Iter: 50        Training Loss: -371.2508
    Negative Log Likelihood: 10.1408    Sigma2 Prior: -381.3923 Regularization: 0.0007
Iter: 60        Training Loss: -402.0444
    Negative Log Likelihood: 14.0326    Sigma2 Prior: -416.0776 Regularization: 0.0007
Iter: 70        Training Loss: -444.1813
    Negative Log Likelihood: 22.7887    Sigma2 Prior: -466.9708 Regularization: 0.0007
Iter: 80        Training Loss: -442.4219
    Negative Log Likelihood: 60.7540    Sigma2 Prior: -503.1766 Regularization: 0.0007
Iter: 90        Training Loss: -472.6210
    Negative Log Likelihood: 40.4810    Sigma2 Prior: -513.1027 Regularization: 0.0007
Iter: 100       Training Loss: -470.7803
    Negative Log Likelihood: 42.0772    Sigma2 Prior: -512.8582 Regularization: 0.0007
Iter: 110       Training Loss: -484.7311
    Negative Log Likelihood: 50.2317    Sigma2 Prior: -534.9636 Regularization: 0.0007
Iter: 120       Training Loss: -492.2148
    Negative Log Likelihood: 42.0856    Sigma2 Prior: -534.3011 Regularization: 0.0007
Iter: 130       Training Loss: -444.3497
    Negative Log Likelihood: 42.0987    Sigma2 Prior: -486.4492 Regularization: 0.0008
Iter: 140       Training Loss: -481.7663
    Negative Log Likelihood: 46.8824    Sigma2 Prior: -528.6494 Regularization: 0.0008
Iter: 150       Training Loss: -494.4716
    Negative Log Likelihood: 43.9144    Sigma2 Prior: -538.3868 Regularization: 0.0008
Iter: 160       Training Loss: -483.5193
    Negative Log Likelihood: 42.1747    Sigma2 Prior: -525.6948 Regularization: 0.0008
Iter: 170       Training Loss: -506.6480
    Negative Log Likelihood: 47.5150    Sigma2 Prior: -554.1639 Regularization: 0.0008
Iter: 180       Training Loss: -499.3445
    Negative Log Likelihood: 42.6557    Sigma2 Prior: -542.0010 Regularization: 0.0008
Iter: 190       Training Loss: -469.4433
    Negative Log Likelihood: 50.6462    Sigma2 Prior: -520.0903 Regularization: 0.0009
Iter: 200       Training Loss: -462.5275
    Negative Log Likelihood: 39.9729    Sigma2 Prior: -502.5013 Regularization: 0.0009
Iter: 210       Training Loss: -480.4583
    Negative Log Likelihood: 39.7806    Sigma2 Prior: -520.2397 Regularization: 0.0009
Iter: 220       Training Loss: -491.3398
    Negative Log Likelihood: 41.0035    Sigma2 Prior: -532.3442 Regularization: 0.0009
Iter: 230       Training Loss: -420.2387
    Negative Log Likelihood: 47.0542    Sigma2 Prior: -467.2938 Regularization: 0.0009
Iter: 240       Training Loss: -481.2106
    Negative Log Likelihood: 35.6947    Sigma2 Prior: -516.9062 Regularization: 0.0009
Iter: 250       Training Loss: -472.4174
    Negative Log Likelihood: 42.2388    Sigma2 Prior: -514.6572 Regularization: 0.0010
Iter: 260       Training Loss: -446.2487
    Negative Log Likelihood: 42.4122    Sigma2 Prior: -488.6619 Regularization: 0.0010
Iter: 270       Training Loss: -481.0813
